engineering	microservices architecture	aj-geddes/useful-ai-prompts@microservices-architecture
engineering	code review best practices	mrgoonie/claudekit-skills@code-review
engineering	api versioning strategy	aj-geddes/useful-ai-prompts@api-versioning-strategy
engineering	performance profiling	sickn33/antigravity-awesome-skills@performance-profiling
engineering	technical debt refactoring	sickn33/antigravity-awesome-skills@code-refactoring-tech-debt
tech	kubernetes operations	bobmatnyc/claude-mpm-skills@kubernetes
tech	infrastructure as code	davila7/claude-code-templates@devops-iac-engineer
tech	event driven architecture	404kidwiz/claude-supercode-skills@event-driven-architect
tech	authentication authorization	sickn33/antigravity-awesome-skills@backend-architect
tech	monitoring alerting	aaron-he-zhu/seo-geo-claude-skills@alert-manager
sales	account based selling	refoundai/lenny-skills@founder-sales
sales	sales enablement	davila7/claude-code-templates@marketing-strategy-pmm
sales	follow up cadence	softaworks/agent-toolkit@feedback-mastery
sales	b2b prospecting	refoundai/lenny-skills@enterprise-sales
sales	deal qualification	refoundai/lenny-skills@sales-qualification
marketing	conversion rate optimization	coreyhaines31/marketingskills@page-cro
marketing	social media strategy	nicepkg/ai-workflow@social-media
marketing	landing page optimization	inference-sh-1/skills@landing-page-design
marketing	go to market strategy	davila7/claude-code-templates@marketing-strategy-pmm
marketing	customer segmentation	eddiebe147/claude-settings@business
